total_box,budget,release_coverage,pindex
97403112,9.00E+07,0.077482427,3332009
34105207,8.00E+07,0.057337535,3332308
130179072,1.10E+08,0.096860471,3332476
42534,0,5.00E-05,3332993
27734391,0,0.041404216,3333127
21355893,0,0.048709206,3333741
188020017,1.65E+08,0.089123035,3333807
416951,0,0.003119039,3333920
48058,0,0.000504371,3334053
105264608,6.00E+07,0.097568287,3334065
223880,0,0.000757959,3334471
382807,0,0.000463989,3334477
18801234,0,0.074002335,3334501
7562164,0,0.053100189,3334682
47602194,5.00E+07,0.085944539,3334740
641886,0,0,3334748
18354356,0,0.01701294,3334797
128002372,5.00E+07,0.070902993,3334822
35327628,0,0.072089762,3334862
11560,0,8.42E-05,3334900
69136,0,0.000833754,3335206
4884663,0,0.05728955,3335409
17536256,0,0.08405915,3335532
16734,0,7.59E-05,3335601
5936344,0,0.02818139,3335603
37491364,6.00E+07,0.05531058,3335747
81954,0,0.000253478,3335771
57806952,0,0.077756085,3335773
221096,0,0.00052063,3336584
204462,0,0.000312378,3336698
5594617,0,0.006196136,3336886
1310678,0,0.002302533,3336908
5161,0,0.000384246,3336960
356077,0,0.000587889,3337111
24159872,0,0.053366256,3337159
318412101,1.40E+08,0.106968121,3337226
312433331,2.00E+08,0.111082996,3337230
409013994,2.00E+08,0.106261243,3337244
21006361,0,0.07628611,3337307
7393346,0,0.026456193,3337370
4030360,0,0.023121532,3337404
39928,0,0.000174242,3337753
14375181,5.50E+07,0.050222673,3338353
22938,0,7.81E-05,3338565
10658505,0,0.000457838,3338713
102737,0,0.000286346,3338754
2962465,4.40E+07,0.02061629,3338934
4683,0,2.74E-05,3338938
783,50000,2.65E-05,3339252
37939757,0,0.057851549,3339704
33817,0,7.50E-05,3339750
14674076,0,0.041420563,3339754
7162,0,5.00E-05,3339800
1610163,0,0.001931297,3340007
70936,0,0,3340066
7491839,0,0.033856942,3340067
344375,0,0,3340162
19474589,0,0.056782674,3340163
848,0,5.21E-05,3340364
60818,0,0.00032777,3340397
6140,0,5.61E-05,3340655
86980,0,0,3340744
112735375,8.50E+07,0.076093114,3340858
6363628,8.00E+06,0.019154858,3341079
622503,0,0.000975413,3341153
60822,0,0.001236464,3341396
18445,0,5.16E-05,3342253
47027,0,5.50E-05,3342466
106771,0,0.00030033,3342536
37306030,3.50E+07,0.050151592,3343415
1142,0,5.04E-05,3343845
58620973,4.50E+07,0.075073156,3343898
74158157,7.90E+07,0.086862052,3343978
34562556,8.50E+07,0.062982908,3344129
541992,0,0.002277328,3344133
