pindex,year,project,pcindex,prod_company,country
2810958,2017,#FromJennifer (2017),PC156893,Lone Morsel Productions [us],us
2810986,2015,#Horror (2015),PC158358,Lowland Pictures [us],us
2810986,2015,#Horror (2015),PC006857,AST Studios [us],us
2811144,2014,#Stuck (2014),PC263611,The Mob Entertainment [us],us
2811144,2014,#Stuck (2014),PC251914,Stuck Productions [us],us
2811144,2014,#Stuck (2014),PC253233,Stupendous Films [us],us
2811274,2008,$5 a Day (2008),PC017845,Aramid Entertainment Fund [ky],ky
2811274,2008,$5 a Day (2008),PC126439,Image Entertainment [us],us
2811274,2008,$5 a Day (2008),PC111507,Grand Army Entertainment [us],us
2811274,2008,$5 a Day (2008),PC109962,Golden Ring International [us],
2811274,2008,$5 a Day (2008),PC096843,Five Dollars a Day [us],us
2811274,2008,$5 a Day (2008),PC046569,Carol Baum Productions [us],us
2811274,2008,$5 a Day (2008),PC045782,Capitol Films [gb],gb
2811297,2016,$elfie Shootout (2016),PC108094,Giorgio Daveed Productions [us],us
2811297,2016,$elfie Shootout (2016),PC004042,905 Productions [us],us
2811298,2012,$ellebrity (2012),PC227145,Run Rampant [us],us
2811310,2000,$pent (2000),PC246743,Spent LLC [us],us
2811310,2000,$pent (2000),PC257322,THF Pictures,
2811310,2000,$pent (2000),PC268850,Trademark Entertainment,
2811509,1988,'Crocodile' Dundee II (1988),PC223044,Rimfire Films [au],au
2811509,1988,'Crocodile' Dundee II (1988),PC199378,Paramount Pictures [us],us
2811841,1986,"'night, Mother (1986)",PC034088,Blackbird Productions,
2811841,1986,"'night, Mother (1986)",PC007278,Aaron Spelling Productions [us],us
2811841,1986,"'night, Mother (1986)",PC275663,Universal Pictures [us],us
2811901,2001,'R Xmas (2001),PC028102,Barnholtz Entertainment [us],us
2811901,2001,'R Xmas (2001),PC277901,Valence Films Inc.,
2811926,1986,'Round Midnight (1986),PC196510,PECF [fr],fr
2811926,1986,'Round Midnight (1986),PC155432,Little Bear [fr],fr
2811974,2008,'Side by Each' (2008),PC055377,City Pound Productions [us],us
2812089,1997,'Til There Was You (1997),PC148928,Lakeshore Entertainment [us],us
2812089,1997,'Til There Was You (1997),PC199378,Paramount Pictures [us],us
2812231,2009,(500) Days of Summer (2009),PC285165,Watermark [us],us
2812231,2009,(500) Days of Summer (2009),PC077653,Dune Entertainment III [us],us
2812231,2009,(500) Days of Summer (2009),PC100222,Fox Searchlight Pictures [us],us
2812234,2013,(614) Days of Summer (2013),PC212779,Pulse Radio Films [us],us
2812234,2013,(614) Days of Summer (2013),PC156077,Living Lavish Productions [us],us
2812234,2013,(614) Days of Summer (2013),PC004286,A Constant Forge [us],us
2812441,2009,(Untitled) (2009),PC037434,Bossa Nova Productions,
2812441,2009,(Untitled) (2009),PC158445,Luber Roklin Entertainment [us],us
2812441,2009,(Untitled) (2009),PC199722,Parker Film Company [us],us
2812441,2009,(Untitled) (2009),PC195453,Outpost Studios [us],us
2812470,1987,*batteries not included (1987),PC013806,Amblin Entertainment [us],us
2812470,1987,*batteries not included (1987),PC275663,Universal Pictures [us],us
2812490,2013,+1 (2013),PC209582,Process Media [us],us
2812490,2013,+1 (2013),PC209580,Process Films [us],us
2812603,1995,...And the Earth Did Not Swallow Him (1995),PC143515,Kino International [us],us
2812603,1995,...And the Earth Did Not Swallow Him (1995),PC139630,KPBS [us],us
2812603,1995,...And the Earth Did Not Swallow Him (1995),PC265936,Tierra Voz Producciones (I) [es],es
2812603,1995,...And the Earth Did Not Swallow Him (1995),PC014198,American Playhouse [us],us
2812842,2006,...So Goes the Nation (2006),PC083810,Endgame Entertainment [us],us
2812972,2013,.357 (2013),PC089852,Fallen Angel Films [us],us
2812972,2013,.357 (2013),PC280009,Victory Angel Films [us],us
2813257,2010,1 a Minute (2010),PC274772,UniGlobe Entertainment [us],us
2813354,2007,1 More Hit (2007),PC242624,Smart Girl Productions [us],us
2813645,2014,10 Cent Pistol (2014),PC226363,Route 17 Entertainment [us],us
2813648,2016,10 Cloverfield Lane (2016),PC199378,Paramount Pictures [us],us
2813648,2016,10 Cloverfield Lane (2016),PC246578,Spectrum Effects [us],us
2813648,2016,10 Cloverfield Lane (2016),PC026558,Bad Robot [us],us
2813706,2006,10 Items or Less (2006),PC000245,10 Items [us],us
2813706,2006,10 Items or Less (2006),PC221914,Reveal Entertainment [us],us
2813706,2006,10 Items or Less (2006),PC221953,Revelations Entertainment [us],us
2813706,2006,10 Items or Less (2006),PC175304,Mockingbird Pictures [us],us
2813838,2006,10 Questions for the Dalai Lama (2006),PC222712,Rick Ray Films [us],us
2813882,1999,10 Things I Hate About You (1999),PC162502,Mad Chance [us],us
2813882,1999,10 Things I Hate About You (1999),PC135041,Jaret Entertainment [us],us
2813882,1999,10 Things I Hate About You (1999),PC284312,Walt Disney Pictures [us],us
2813916,2011,10 Years (2011),PC261829,Temple Hill Entertainment [us],us
2813916,2011,10 Years (2011),PC002211,33andOut Productions [us],us
2813916,2011,10 Years (2011),PC155111,Lionsgate [us],us
2813916,2011,10 Years (2011),PC037418,Boss Media [us],us
2813916,2011,10 Years (2011),PC131614,Iron Horse Entertainment [us],us
2813916,2011,10 Years (2011),PC078704,EG Productions [us],us
2813919,2010,10 Years Later (2010),PC228205,S10 Productions [us],us
2813919,2010,10 Years Later (2010),PC025625,BP Cooper Pictures [us],us
2813947,2008,"10,000 BC (2008)",PC284739,Warner Bros. [us],us
2813947,2008,"10,000 BC (2008)",PC151360,Legendary Entertainment [us],us
2813947,2008,"10,000 BC (2008)",PC176983,Moonlighting Films [za],za
2813947,2008,"10,000 BC (2008)",PC070678,Department of Trade and Industry of South Africa [za],za
2813947,2008,"10,000 BC (2008)",PC048725,Centropolis Entertainment [us],us
2813965,2015,"10,000 Saints (2015)",PC168973,MeMo Films [it],it
2813965,2015,"10,000 Saints (2015)",PC168183,Maven Pictures [us],us
2813965,2015,"10,000 Saints (2015)",PC217522,Raptor Films [us],us
2813965,2015,"10,000 Saints (2015)",PC026519,Bad Medicine Films [us],us
2813965,2015,"10,000 Saints (2015)",PC018191,Archer Gray [us],us
2813965,2015,"10,000 Saints (2015)",PC259966,Tashtego Films [us],us
2814061,2013,100 Degrees Below Zero (2013),PC021851,"Asylum, The [us]",us
2814061,2013,100 Degrees Below Zero (2013),PC185627,Next Station Productions [hu],hu
2814061,2013,100 Degrees Below Zero (2013),PC129857,"Institution, The [us]",us
2814137,2010,100 Miles to 40 (2010),PC282965,Vulture Video Productions [us],us
2814199,2010,100 Voices: A Journey Home (2010),PC296229,mod3productions [us],us
2814573,1996,101 Dalmatians (1996),PC284312,Walt Disney Pictures [us],us
2814573,1996,101 Dalmatians (1996),PC289278,Wizzer Productions [us],us
2814573,1996,101 Dalmatians (1996),PC112160,Great Oaks Entertainment,
2814646,2000,102 Dalmatians (2000),PC063376,Cruella Productions,
2814646,2000,102 Dalmatians (2000),PC284312,Walt Disney Pictures [us],us
2814684,2017,1040 Not So EZ (2017),PC053696,Cinemahill Productions [us],us
2814684,2017,1040 Not So EZ (2017),PC053696,Cinemahill Productions [us],us
2814684,2017,1040 Not So EZ (2017),PC053696,Cinemahill Productions [us],us
2814684,2017,1040 Not So EZ (2017),PC123682,Huzu Productions [us],us
2814722,2014,108 Stitches (2014),PC074355,Dog House Post Audio [us],us
2814722,2014,108 Stitches (2014),PC212431,Psycho Rock Productions [us],us
2814722,2014,108 Stitches (2014),PC256194,Sylvan Street Studio [us],us
2814786,2006,10th & Wolf (2006),PC255454,Suzanne DeLaurentiis Productions [us],us
2814883,2002,11'09''01 - September 11 (2002),PC252633,Studio Maj [si],si
2814883,2002,11'09''01 - September 11 (2002),PC253058,StudioCanal [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC241255,Sixteen Films [gb],gb
2814883,2002,11'09''01 - September 11 (2002),PC235486,Sequence 19 Productions [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC294299,Zeta Film [mx],mx
2814883,2002,11'09''01 - September 11 (2002),PC152004,Les Films 13 [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC152421,Les Films de la Plaine [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC161198,MISR International Films [eg],eg
2814883,2002,11'09''01 - September 11 (2002),PC164336,Makhmalbaf Film House [ir],ir
2814883,2002,11'09''01 - September 11 (2002),PC164337,Makhmalbaf Productions [ir],ir
2814883,2002,11'09''01 - September 11 (2002),PC147894,La Générale de Production [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC058247,Comme des Cinémas [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC047610,Catherine Dussart Productions (CDP) [fr],fr
2814883,2002,11'09''01 - September 11 (2002),PC042999,CIH Shorts [us],us
2814883,2002,11'09''01 - September 11 (2002),PC126903,Imamura Productions [jp],jp
2814883,2002,11'09''01 - September 11 (2002),PC105046,Galatée Films [fr],fr
2814888,2011,11-11-11 (2011),PC045632,Capacity Pictures [us],us
2814888,2011,11-11-11 (2011),PC045495,Canonigo Films [es],es
2814888,2011,11-11-11 (2011),PC084678,Epic Pictures Group [us],us
2814888,2011,11-11-11 (2011),PC033574,Black Flag [es],es
2815049,2003,11:14 (2003),PC096234,Firm Films [us],us
2815049,2003,11:14 (2003),PC160876,MDP Worldwide [us],us
2815049,2003,11:14 (2003),PC169169,Media 8 Entertainment [us],us
2815121,2005,12 and Holding (2005),PC080002,Echo Lake Entertainment [us],us
2815121,2005,12 and Holding (2005),PC045245,Canary Films [us],us
2815121,2005,12 and Holding (2005),PC235560,Serenade Films [us],us
2815145,2011,12 Counts of Deception (2011),PC028852,Bcut Productions [us],us
2815256,2013,12 O'Clock Boys (2013),PC174818,Mission Films [us],us
2815256,2013,12 O'Clock Boys (2013),PC212041,Prospekt [us],us
2815274,2009,12 Rounds (2009),PC166471,"Mark Gordon Company, The [us]",us
2815274,2009,12 Rounds (2009),PC172554,Midnight Sun Pictures [us],us
2815274,2009,12 Rounds (2009),PC100121,Fox Atomic [us],us
2815274,2009,12 Rounds (2009),PC283783,WWE Studios [us],us
2815322,2013,12 Years a Slave (2013),PC093638,Film4 [gb],gb
2815322,2013,12 Years a Slave (2013),PC223554,River Road Entertainment [us],us
2815322,2013,12 Years a Slave (2013),PC220640,Regency Enterprises [us],us
2815322,2013,12 Years a Slave (2013),PC184930,New Regency Pictures [us],us
2815322,2013,12 Years a Slave (2013),PC205296,Plan B Entertainment [us],us
2815332,2013,12-12-12 (2013),PC121686,Honest Engine TV [us],us
2815424,2010,127 Hours (2010),PC116384,HandMade Films [gb],gb
2815424,2010,127 Hours (2010),PC093638,Film4 [gb],gb
2815424,2010,127 Hours (2010),PC086878,Everest Entertainment [us],us
2815424,2010,127 Hours (2010),PC056444,Cloud Eight Films [gb],gb
2815424,2010,127 Hours (2010),PC077654,Dune Entertainment [us],us
2815424,2010,127 Hours (2010),PC067991,Darlow Smithson Productions [gb],gb
2815424,2010,127 Hours (2010),PC069549,Decibel Films [gb],gb
2815424,2010,127 Hours (2010),PC200436,Pathé Entertainment [us],fr
2815424,2010,127 Hours (2010),PC032304,Big Screen Productions [gb],gb
2815502,2010,13 (2010/I),PC027815,Barbarian Films [us],us
2815502,2010,13 (2010/I),PC260162,Tax Credit Finance [us],us
2815502,2010,13 (2010/I),PC189382,Number 13 [us],us
2815502,2010,13 (2010/I),PC195704,Overnight Films [us],us
2815502,2010,13 (2010/I),PC190688,Oceana Media Finance [us],us
2815502,2010,13 (2010/I),PC219201,Red Dragon Production [us],us
2815502,2010,13 (2010/I),PC177148,Morabito Picture Company [us],us
2815502,2010,13 (2010/I),PC163543,Magnet Media Group [us],us
2815502,2010,13 (2010/I),PC163543,Magnet Media Group [us],us
2815502,2010,13 (2010/I),PC163543,Magnet Media Group [us],de
2815502,2010,13 (2010/I),PC052898,Cinedigm [us],us
2815562,2004,13 Going on 30 (2004),PC222100,Revolution Studios [us],us
2815562,2004,13 Going on 30 (2004),PC264810,Thirteen Productions [us],us
2815573,2016,13 Hours (2016),PC028724,Bay Films [us],us
2815573,2016,13 Hours (2016),PC001913,3 Arts Entertainment [us],us
2815573,2016,13 Hours (2016),PC199378,Paramount Pictures [us],us
2815573,2016,13 Hours (2016),PC150051,Latina Pictures [mt],mt
2815573,2016,13 Hours (2016),PC077655,Dune Films [ma],ma
2815629,2014,13 Score (2014),PC126412,Image 987 [us],us
2815629,2014,13 Score (2014),PC247863,Squishy Films [us],us
2815635,2014,13 Sins (2014),PC023349,Automatik Entertainment [us],us
2815635,2014,13 Sins (2014),PC124805,IM Global [us],us
2815635,2014,13 Sins (2014),PC072788,Dimension Films [us],us
2815635,2014,13 Sins (2014),PC155654,Little Magic Films [us],us
2815635,2014,13 Sins (2014),PC230064,Sahamongkol Film International [th],th
2815635,2014,13 Sins (2014),PC214842,RADiUS-TWC [us],us
2815650,2016,13 Times Evil (2016),PC234667,Sector 5 Films [us],us
2815819,2004,14 Million Dreams (2004),PC025978,Babelfish Productions LLC [us],us
2815823,2016,14 Minutes from Earth (2016),PC022436,Atomic Entertainment [us],us
2815839,2007,14 Women (2007),PC279426,Vertical Films [us],us
2815871,2007,1408 (2007),PC285821,"Weinstein Company, The [us]",us
2815871,2007,1408 (2007),PC071586,Di Bonaventura Pictures [us],us
2815871,2007,1408 (2007),PC072788,Dimension Films [us],us
2816015,2001,15 Minutes (2001),PC128568,Industry Entertainment [us],us
2816015,2001,15 Minutes (2001),PC184927,New Redemption Pictures [us],us
2816015,2001,15 Minutes (2001),PC141382,Katira Media Production [de],de
2816015,2001,15 Minutes (2001),PC184739,New Line Cinema [us],us
2816015,2001,15 Minutes (2001),PC270013,Tribeca Film [us],us
2816062,2010,15 Till Midnight (2010),PC254810,Super Jupiter Films [us],us
2816062,2010,15 Till Midnight (2010),PC289467,Wolfpak Industry Productions [us],us
2816062,2010,15 Till Midnight (2010),PC226182,Rotten Apple Productions [us],us
2816177,2006,16 Blocks (2006),PC189194,Nu Image Entertainment GmbH [de],de
2816177,2006,16 Blocks (2006),PC173268,Millennium Films [us],us
2816177,2006,16 Blocks (2006),PC075070,Donners' Company [us],us
2816177,2006,16 Blocks (2006),PC083217,Emmett/Furla/Oasis Films (EFO Films) [us],us
2816177,2006,16 Blocks (2006),PC084943,Equity Pictures Medienfonds GmbH & Co. KG III [de],de
2816177,2006,16 Blocks (2006),PC059833,ContentFilm [gb],gb
2816177,2006,16 Blocks (2006),PC050523,Cheyenne Enterprises [us],us
2816177,2006,16 Blocks (2006),PC000796,16 Block Productions [ca],ca
2816177,2006,16 Blocks (2006),PC011253,Alcon Entertainment [us],us
2816187,1986,16 Days of Glory (1986),PC275420,United States Olympic Committee [us],us
2816187,1986,16 Days of Glory (1986),PC045832,Cappy Productions [us],us
2816213,2009,16 Summers (2009),PC179660,Musa Film Company [us],us
2816213,2009,16 Summers (2009),PC189010,Novelas Educativas [us],us
2816259,2011,1666 (2011),PC219021,Red Baron Films [us],us
2816301,2009,17 Again (2009),PC191396,Offspring Entertainment [us],us
2816301,2009,17 Again (2009),PC184739,New Line Cinema [us],us
2816457,1988,18 Again! (1988),PC185165,New World Entertainment [us],us
2816574,2000,18 D (2000),PC141684,Keen Screen Pictures [us],us
2816574,2000,18 D (2000),PC283882,Wafal Productions,
2816695,2011,180 (2011/III),PC159381,Lunch Truck Productions LLC [us],us
2816695,2011,180 (2011/III),PC079849,Easy Water Films [us],us
2816729,2010,180° South (2010),PC289836,Woodshed Films Inc. [us],us
2816829,2016,18th Annual Animation Show of Shows (2016),PC008214,Acme Filmworks [us],us
2816859,2011,19 Doors (2011),PC188304,North Shore Pictures [us],us
2816944,2015,1915 (2015),PC034996,Bloodvine Media [us],us
2816944,2015,1915 (2015),PC251833,Strongman [us],us
2816959,1985,1918 (1985),PC113951,Guadalupe Productions,
2817512,2013,1982 (2013/I),PC059249,Confluential Films [us],us
2817512,2013,1982 (2013/I),PC033918,Black Squirrel Films [us],us
2817798,1992,1991: The Year Punk Broke (1992),PC285473,We Got Power Films [us],
2817798,1992,1991: The Year Punk Broke (1992),PC285473,We Got Power Films [us],us
2817798,1992,1991: The Year Punk Broke (1992),PC244821,Sonic Life,
2817798,1992,1991: The Year Punk Broke (1992),PC106303,Geffen Pictures [us],us
2818399,1996,2 Days in the Valley (1996),PC227673,Rysher Entertainment [us],us
2818399,1996,2 Days in the Valley (1996),PC219972,Redemption Productions [us],us
2818408,2013,2 Dead 2 Kill (2013),PC040760,Buffalo 8 Productions [us],us
2818430,2003,2 Fast 2 Furious (2003),PC194407,Original Film [us],us
2818430,2003,2 Fast 2 Furious (2003),PC172934,Mikona Productions GmbH & Co. KG [de],de
2818430,2003,2 Fast 2 Furious (2003),PC275663,Universal Pictures [us],us
2818430,2003,2 Fast 2 Furious (2003),PC018433,Ardustry Entertainment [us],us
2818486,2013,2 Guns (2013),PC037058,Boom Entertainment [us],us
2818486,2013,2 Guns (2013),PC275663,Universal Pictures [us],us
2818486,2013,2 Guns (2013),PC165918,Marc Platt Productions [us],us
2818486,2013,2 Guns (2013),PC144494,Knightsbridge Entertainment [gb],gb
2818486,2013,2 Guns (2013),PC190382,Oasis Ventures Entertainment [us],us
2818486,2013,2 Guns (2013),PC084539,Envision Entertainment [us],us
2818486,2013,2 Guns (2013),PC083217,Emmett/Furla/Oasis Films (EFO Films) [us],us
2818486,2013,2 Guns (2013),PC121327,Hollywood Studios [us],us
2818486,2013,2 Guns (2013),PC119474,Herrick Productions [us],us
2818539,2012,2 Jacks (2012),PC226242,Rough Diamond Productions [us],us
2818940,2014,20 Ft Below: The Darkness Descending (2014),PC191064,Odyssey Motion Pictures [us],us
2818940,2014,20 Ft Below: The Darkness Descending (2014),PC035294,Blue Dragon Entertainment [us],us
2819141,1999,200 Cigarettes (1999),PC148928,Lakeshore Entertainment [us],us
2819141,1999,200 Cigarettes (1999),PC161873,MTV Films [us],us
2819141,1999,200 Cigarettes (1999),PC074467,Dogstar Films,
2819244,2005,2001 Maniacs (2005),PC217931,Raw Nerve [us],us
2819244,2005,2001 Maniacs (2005),PC034968,BloodWorks [us],us
2819244,2005,2001 Maniacs (2005),PC278834,Velvet Steamroller Entertainment [us],us
2819946,2009,2012 (2009/I),PC166471,"Mark Gordon Company, The [us]",us
2819946,2009,2012 (2009/I),PC048725,Centropolis Entertainment [us],us
2819946,2009,2012 (2009/I),PC057816,Columbia Pictures [us],us
2819946,2009,2012 (2009/I),PC118691,Helicopter Film Services [gb],gb
2819946,2009,2012 (2009/I),PC090467,Farewell Productions [ca],ca
2820315,2012,2016: Obama's America (2012),PC190390,Obama's America Foundation [us],us
2820416,2009,2084 (2009),PC141817,Kelly Blumetti Entertainment Group [us],us
2820475,2016,20th Century Women (2016),PC175409,Modern People [us],us
2820475,2016,20th Century Women (2016),PC016352,Annapurna Pictures [us],us
2820475,2016,20th Century Women (2016),PC018191,Archer Gray [us],us
2820488,2013,21 & Over (2013),PC281308,Virgin Produced [us],us
2820488,2013,21 & Over (2013),PC241762,SkyLand Entertainment [cn],cn
2820488,2013,21 & Over (2013),PC165076,Mandeville Films [us],us
2820488,2013,21 & Over (2013),PC220978,Relativity Studios [us],us
2820494,2008,21 (2008),PC220978,Relativity Studios [us],us
2820494,2008,21 (2008),PC171970,Michael De Luca Productions [us],us
2820494,2008,21 (2008),PC104323,GH Three [us],us
2820494,2008,21 (2008),PC057816,Columbia Pictures [us],us
2820494,2008,21 (2008),PC270197,Trigger Street Productions [us],us
2820505,2009,21 Below (2009),PC128290,IndiePix Studios [us],us
2820515,2014,21 Days (2014/I),PC187833,Nopal Army [us],us
2820515,2014,21 Days (2014/I),PC268300,Tortilla Flats Productions [us],us
2820515,2014,21 Days (2014/I),PC268300,Tortilla Flats Productions [us],us
2820522,2016,21 Days Under the Sky (2016),PC100138,Fox Digital Studios [us],us
2820522,2016,21 Days Under the Sky (2016),PC089351,Factory 25 [us],us
2820522,2016,21 Days Under the Sky (2016),PC071922,Dice Magazine [us],us
2820536,2003,21 Grams (2003),PC169735,Mediana Productions Filmgesellschaft [us],us
2820536,2003,21 Grams (2003),PC264877,This Is That Productions [us],us
2820536,2003,21 Grams (2003),PC291369,Y Productions [us],us
2820548,2012,21 Jump Street (2012),PC249915,Stephen J. Cannell Productions [us],us
2820548,2012,21 Jump Street (2012),PC171518,Metro-Goldwyn-Mayer (MGM) [us],us
2820548,2012,21 Jump Street (2012),PC194407,Original Film [us],us
2820548,2012,21 Jump Street (2012),PC220978,Relativity Studios [us],us
2820548,2012,21 Jump Street (2012),PC057816,Columbia Pictures [us],us
2820575,2014,21 Years: Richard Linklater (2014),PC289740,Wood Entertainment [us],us
2820687,2014,22 Jump Street (2014),PC003660,75 Year Plan Productions [us],us
2820687,2014,22 Jump Street (2014),PC002211,33andOut Productions [us],us
2820687,2014,22 Jump Street (2014),PC249915,Stephen J. Cannell Productions [us],us
2820687,2014,22 Jump Street (2014),PC251153,Storyville [us],us
2820687,2014,22 Jump Street (2014),PC057816,Columbia Pictures [us],us
2820687,2014,22 Jump Street (2014),PC133331,JHF [us],us
2820687,2014,22 Jump Street (2014),PC194407,Original Film [us],us
2820687,2014,22 Jump Street (2014),PC171518,Metro-Goldwyn-Mayer (MGM) [us],us
2820687,2014,22 Jump Street (2014),PC169468,Media Rights Capital (MRC) [us],us
2820687,2014,22 Jump Street (2014),PC147486,LStar Capital [us],us
2820787,2000,23 Hours (2000),PC204822,Piranha Pictures [us],us
2820796,2012,23 Minutes to Sunrise (2012),PC149106,Lamplight Films [us],us
2820796,2012,23 Minutes to Sunrise (2012),PC068700,Day of Fun Pictures [us],us
2820796,2012,23 Minutes to Sunrise (2012),PC294575,Zingraff Motion Pictures [us],us
2820887,2013,24 Exposures (2013),PC196806,POP Films [us],us
2820963,2015,24 Hours (2015),PC212994,Puppy Entertainment [us],us
2820963,2015,24 Hours (2015),PC249480,Status Media & Entertainment [us],us
2820976,2014,24 Hours Movie (2014),PC245305,Soul City Films/Alyze Elyse Production [us],us
2820986,2005,24 Hours on Craigslist (2005),PC292164,Yerba Buena Productions Inc. [us],us
2821286,2012,25 to Life (2012),PC240386,SimonSays Entertainment [us],us
2821377,2002,25th Hour (2002),PC284312,Walt Disney Pictures [us],us
2821377,2002,25th Hour (2002),PC001612,25th Hour Productions [us],us
2821377,2002,25th Hour (2002),PC002723,40 Acres & A Mule Filmworks [us],us
2821377,2002,25th Hour (2002),PC128568,Industry Entertainment [us],us
2821377,2002,25th Hour (2002),PC105469,Gamut Films [us],us
2821454,2008,27 Dresses (2008),PC100116,Fox 2000 Pictures [us],us
2821454,2008,27 Dresses (2008),PC077653,Dune Entertainment III [us],us
2821454,2008,27 Dresses (2008),PC247701,Spyglass Entertainment [us],us
2821509,2000,28 Days (2000),PC259226,Tall Trees Productions [us],us
2821509,2000,28 Days (2000),PC057816,Columbia Pictures [us],us
2821522,2012,28 Hotel Rooms (2012),PC190119,ONEZERO Films [us],us
2821522,2012,28 Hotel Rooms (2012),PC178039,Mott Street Pictures [us],us
2821522,2012,28 Hotel Rooms (2012),PC254311,Sundial Pictures [us],us
2821522,2012,28 Hotel Rooms (2012),PC240244,Silverwood Films [us],us
2821525,2010,28 Hours Later: The Zombie Movie (2010),PC292584,You Don't Say! Media [us],us
2821633,1991,29th Street (1991),PC272062,Twentieth Century Fox Film Corporation [us],us
2821633,1991,29th Street (1991),PC149508,Largo Entertainment [us],us
2821633,1991,29th Street (1991),PC202336,Permut Presentations [us],us
2821633,1991,29th Street (1991),PC133812,JVC Entertainment Networks [jp],jp
2821759,2012,2nd Serve (2012),PC293601,Zappa Studios [us],us
2821759,2012,2nd Serve (2012),PC113488,"Group Entertainment, The [us]",us
2821779,2015,2Survive (2015),PC121707,Honey Creek Pictures [us],us
2821779,2015,2Survive (2015),PC003330,59th Street Films [us],us
2821860,2010,3 Backyards (2010),PC046897,Caruso / Mendelsohn Productions [us],us
2821994,2014,3 Days to Kill (2014),PC086541,EuropaCorp [fr],fr
2821994,2014,3 Days to Kill (2014),PC220978,Relativity Studios [us],us
2821994,2014,3 Days to Kill (2014),PC289668,Wonderland Sound and Vision [us],us
2822044,2016,3 Flies in a Widow's Web (2016),PC003780,7th Street Productions [us],us
2822159,1990,3 Men and a Little Lady (1990),PC284312,Walt Disney Pictures [us],us
2822159,1990,3 Men and a Little Lady (1990),PC240020,Silver Screen Partners [us],us
2822159,1990,3 Men and a Little Lady (1990),PC130898,Interscope Communications [us],us
2822232,2005,3 Needles (2005),PC045037,Canadian Film or Video Production Tax Credit (CPTC) [ca],ca
2822232,2005,3 Needles (2005),PC051864,Chum Television [ca],ca
2822232,2005,3 Needles (2005),PC083249,Emotion Pictures [ca],ca
2822232,2005,3 Needles (2005),PC188931,Nova Scotia Film Development Corporation [ca],ca
2822232,2005,3 Needles (2005),PC188932,Nova Scotia Film Industry Tax Credit [ca],ca
2822232,2005,3 Needles (2005),PC151333,Legend Films [th],th
2822232,2005,3 Needles (2005),PC178277,Movie Central [ca],ca
2822232,2005,3 Needles (2005),PC178387,"Movie Network, The (TMN) [ca]",ca
2822232,2005,3 Needles (2005),PC254854,Super Écran [ca],ca
2822232,2005,3 Needles (2005),PC272970,Téléfilm Canada [ca],ca
2822232,2005,3 Needles (2005),PC032520,Bigfoot Entertainment [us],us
2822238,2014,3 Nights in the Desert (2014),PC184301,New Artists Alliance [us],us
2822238,2014,3 Nights in the Desert (2014),PC044302,Caliber Media Company [us],us
2822240,1992,3 Ninjas (1992),PC108656,Global Film Enterprises,
2822240,1992,3 Ninjas (1992),PC108777,Global Venture Hollywood [us],us
2822240,1992,3 Ninjas (1992),PC284312,Walt Disney Pictures [us],us
2822240,1992,3 Ninjas (1992),PC237330,Sheen Productions [us],us
2822241,1994,3 Ninjas Kick Back (1994),PC237330,Sheen Productions [us],us
2822241,1994,3 Ninjas Kick Back (1994),PC265331,Three Ninjas Japan Inc. [jp],jp
2822241,1994,3 Ninjas Kick Back (1994),PC030394,Ben-Ami/Leeds Productions,
2822243,1995,3 Ninjas Knuckle Up (1995),PC269894,TriStar Pictures [us],us
2822243,1995,3 Ninjas Knuckle Up (1995),PC237330,Sheen Productions [us],us
2822371,2013,3 Teams: A Youth Sports Story (2013),PC233552,Scotty Workouts Productions [us],us
2822413,2011,3 Weeks to Daytona (2011),PC244903,Sono Studios [us],us
2822413,2011,3 Weeks to Daytona (2011),PC002061,3 Weeks [us],us
2822494,2008,3-Day Weekend (2008),PC114175,Guest House Films [us],us
2822592,2012,30 Beats (2012),PC120106,Highbrow Entertainment [us],us
2822592,2012,30 Beats (2012),PC150081,Latitude 49 Production [fr],fr
2822592,2012,30 Beats (2012),PC033762,Black Nexxus Inc. [us],us
2822592,2012,30 Beats (2012),PC290388,Worldview Entertainment [us],us
2822605,2011,30 Day Feature Film Challenge: The Movie (2011),PC055059,Circle Films,
2822610,2006,30 Days (2006/I),PC122103,Horizon Productions [us],us
2822625,2007,30 Days of Night (2007),PC107532,Ghost House Pictures [us],us
2822625,2007,30 Days of Night (2007),PC057816,Columbia Pictures [us],us
2822625,2007,30 Days of Night (2007),PC067666,Dark Horse Indie [us],us
2822632,2016,30 Days with My Brother (2016),PC160027,M&F Entertainment [us],us
2822632,2016,30 Days with My Brother (2016),PC177178,Moras Productions [us],us
2822684,2011,30 Minutes or Less (2011),PC169468,Media Rights Capital (MRC) [us],us
2822684,2011,30 Minutes or Less (2011),PC219362,Red Hour Productions [us],us
2822684,2011,30 Minutes or Less (2011),PC057816,Columbia Pictures [us],us
2822812,2006,300 (2006),PC121244,Hollywood Gang Productions [us],us
2822812,2006,300 (2006),PC186551,Nimar Studios [bg],bg
2822812,2006,300 (2006),PC170280,Mel's Cite du Cinema [ca],ca
2822812,2006,300 (2006),PC151360,Legendary Entertainment [us],us
