InvestorId,Investor_Name,successful_investments
111817-00,Preving Consultores,
111817-18,SMACL Santé,
111817-63,Atop International,
11181-79,KLM Capital Group,35
111818-08,Longhouse Group,
111818-53,Edenhouse Solutions,
11181-88,Knoll Capital Management,9
111818-80,Cards Unlimited,
111818-98,CoBuilder VC,
111819-07,Roha Arzneimittel,1
111819-16,eustream,
111819-61,Stoylenskaya Niva Agro-Industrial,
111819-97,Four Marketing,
111820-15,Banque du Caire,3
111820-33,Bank of Alexandria,2
111820-78,Orca im Netz,
111821-32,NewCap Holding,2
11182-15,LongueVue Capital,10
111821-95,Strasser Capital,
11182-24,Longworth Venture Partners,38
111822-76,Concord Card Casino,
111823-03,Social Mix Media (Old),
11182-33,Longroad Asset Management,16
111823-39,Saltus Partners,
111823-48,Loxodonta,
111823-57,Yoh Services,
111823-84,2pure,
111823-93,Flowmax,
11182-42,Longreach Group,4
111824-65,Specialkarosser,
111824-83,adRom,
11182-51,West Lothian Venture Fund,1
111825-10,Korporativnaya Sistema Upravleniya,
111825-28,Detron ICT & Telecom Groep,1
111825-73,DPC,
11182-60,Lovett Miller & Company,27
111826-09,1:1 Assekuranzservice,
111826-27,Proserve,
111826-54,Hankkija,
111826-72,Bueechl Handels und Beteiligungs,1
11182-69,Lexington Partners,29
111826-90,Talanx Deutschland,1
111827-71,Moneo Technology Solutions,1
11182-78,Murex Investments,4
111827-80,Kraft Foods Italia,1
111828-34,Richard Grafton Interiors,
111828-43,Kemira GrowHow,3
111828-52,Dong-A Engineering,
11182-87,Murphy & Partners Fund,1
111828-97,AICON 3D Systems,
111829-06,Suomen Osuuskauppojen Keskuskunta,4
111829-33,Farvater,
11182-96,Murphree Venture Partners,13
111830-14,Alpine Fine Foods,
111830-77,Telma,
111831-13,Servizi Assicurativi del Commercio Estero,1
111831-22,Soyuz-Telephonstroy,
11183-14,The Mustang Group,6
111832-03,Selva,
111832-30,Psm Nature Power Service & Management,
111832-75,Wild Manufacturing Group,
111832-93,TecCom,
111833-11,Samantha Tripodi,1
11183-32,MVM Life Science Partners,33
111833-20,Sébastien Marc,
111833-29,InQpharm Group,
111833-65,Helloevery1,
111834-01,Bäckerei Schneider,
111834-37,VIH Aviation Group,1
111834-64,Aqua Utilities Florida,
111834-73,Ligtermoet & Partners,
11183-50,myQube,12
111835-36,S Mifsud & Sons,
111835-45,GSG Knape Gleissanierung,1
111835-54,Invactor,4
111835-63,Florida Governmental Utility Authority,
111835-72,Simest,2
111835-81,Soglasie Insurance Company,
111835-90,Eurowind Energy,1
111835-99,Deichmann Invest,1
111836-26,Frank Thelen,3
111836-35,WL Wind,
111836-44,GMC Holding,1
111836-53,Marc Sieberger,1
11183-68,Nanotech Partners,4
111837-07,HTS Hans Torgersen & Sønn,1
11183-77,Coreo,11
111837-79,NutriXo,1
111837-97,World Markets,
11183-86,Sovereign Capital,41
111838-60,Radiotrans,
111839-14,Dot Esports,
11183-95,Ventech,92
111839-50,Groupe Payant,
111839-59,East of England Co-operative Society,1
111840-49,Nihodo Media,
111840-94,Groupe GCC,1
11184-13,SHS Gesellschaft fur Beteiligungsmanagement,13
111841-39,Leeds Advanced Manufacturing,
111841-57,ARRI,1
111841-75,Schultz Seating System,
11184-22,SHUAA Capital,8
111842-20,Government of the Philippines,1
111842-47,Specialist Software Services,
11184-31,Next47,168
111843-37,Communauto,
111843-46,Cash America of Mexico,
111843-91,TriRatna Holdings,
11184-40,Sienna Ventures,14
111844-00,Vozrozhdenie St Petersburg Construction Corporation,
11184-49,Sierra Ventures,158
111844-99,Forces Motrices Valaisannes,
111845-53,Novosibirsk Electrovacuum Plant-Soyuz,
111845-62,Leuchter Informatik,
111845-71,Beacon Electric Asset Holdings,2
11184-67,Sigma Partners,149
111846-79,Stahl Beteiligungs,
111847-15,Jerry Held,
11184-76,Sigma Capital,2
111847-69,Gorzdrav,1
111847-78,Boxon Bulk,
111848-14,Groupe Lamirault,
11184-85,Signal Lake Management,12
111848-59,HBW-Gubesch Kunststoff-Engineering,
11184-94,Signal Equity Partners,4
111849-40,Groupe Nauting,
111850-03,Bowden & Dolphin Signs,
11185-03,Seacoast Capital Partners,37
111850-57,Aspire Mobility,
111850-66,Classic Cottages,
11185-12,Signature Capital,6
111851-83,Frederick Innovative Technology Center,1
11185-21,Siguler Guff & Company,17
111852-37,Ravi Dhariwal,
111852-46,Christine Limparis,
111852-73,Zoomin.TV,
111852-82,Rob Carlson,
111852-91,Incubateur Régional d'Aquitaine,11
11185-30,Everest Group (Omaha),5
111853-00,The International Communications Agency Network,
111853-27,Jonathan Weiner,1
111853-45,Woodstock Insurance Brokers,
111853-63,Anil Aggarwal,1
11185-39,Executive Venture Partners,2
111853-90,Absolute Private Equity,
111853-99,Phillip Riese,
111854-44,Michael Tobin,
11185-48,Exeter Capital Partners,8
111854-89,First Dakota National Bank,
11185-57,Expansion Capital Partners,10
111855-79,Allconsult Ackermans Family Office,
111856-15,B&W Fiber Glass,
111856-42,Echo Managed Services,
111856-51,Champ Dong Créations Industries,
11185-66,Explorador Capital Management,2
111856-60,Solutions for Accounting,
111856-87,Ryden,
111857-14,Mathias Entenmann,
111857-32,Poole & Co. Solicitors,
111857-41,Wüstenrot & Württembergische,5
11185-75,Exponent Private Equity,21
111857-59,John Chaplin,
111857-86,Cardinal Maritime,
111857-95,FBM Finanzierung & Beteiligungen im Mittelstand,
11185-84,Extorel,5
111858-40,Mondo (Denmark),3
111858-67,Alpine Select,2
111859-03,D B Capital Corp,1
111859-57,Kazanski MEZ,
111860-11,Empresa Media,
11186-02,Exxel Group,12
111860-29,McWane Technology,
111860-56,Bunting Magnetics,
11186-11,FCF Partners,11
111861-19,Dheeraj Rajaram,
111861-37,Wood Energy,
111861-55,BAE Systems Pension Scheme,
11186-20,FaDiese,14
111862-00,ESPF Beteiligungs,
111862-09,Intacta Gestión Ambiental,
111862-18,VG (Jersey),
111862-63,Hari Balasubramanian,
111862-72,Nagendra Bandaru,
11186-29,Meusinvest Group,80
111863-08,CAT España Logística Cargo,
111863-62,TS-Yhtymä,1
11186-38,Fairfax Partners,16
111863-80,Sanoma Magazines Finland,2
111863-98,Orion Immobilien Christine,
111864-07,Bibliotheque des Arts,
111864-61,Etablissements Rambault,1
111864-97,415x,1
111865-51,Beumer Group,
111865-78,Femmes Business Angels,12
111866-14,Saurabh Srivastava,
111866-41,HMK Automation Group,
111866-50,Rohit Chand,
111866-86,Habinteg Housing Association,
111867-13,Axactor Sweden,
11186-74,FarSight Ventures,
111867-58,Frankstahl Stahlhandel,
11186-83,FA Technology Ventures,19
111868-39,Generation Holding,1
111868-66,Doux Galina,
111868-75,Beaumont Cornish,
111868-84,Broadband Cloud Solutions,
111868-93,Blue Ocean Ventures (Sri Lanka),6
11186-92,Favonius Ventures,19
111869-20,DLF Seeds,
111869-38,Schreiner & Wöllenstein,
111869-56,Électro Confort,
111869-74,SchoolCircle,
11187-01,FBR CoMotion Venture Capital,4
111870-28,EnviroChemie,
111870-73,Sevkabel,
111871-18,ConnectWise Capital,
111871-54,Vikas Kumar,
111871-63,Robert Brouillette,1
111871-81,Ravindra Krishnappa,1
11187-19,Ferrer Freeman & Company,48
111871-90,Perisher-Smiggins Holes,2
111871-99,Cornerstone Capital Management,3
111872-08,Transfield's Blue Cow-Guthega,2
111872-26,V.G.M. Holding,
111872-35,Emaux et Mosaïques,
111872-53,Holidaysplease,
111872-62,Ed Fritzky,1
111872-71,Nestle Schöller,1
111872-80,Henry Albrecht,1
111873-07,Dave Song,1
111873-34,Eamon Moore IT Solutions,
111873-52,Dresner Corporate Services,
111873-70,Kheper,
111873-79,Desarrollo de Concesiones Aeroportuarias,
111873-97,Serena Glover,3
111874-24,Österreichischer Agrarverlag Druck und Verlags,
111874-96,Entertainment Studios,2
111876-13,Instituto Policlínico Rosaleda,
11187-64,FIH Erhvervsbank,7
111876-67,Electro Optic Systems,
111876-76,Ironbark Zinc,
111876-85,Aytu BioScience,1
111877-03,Fullshare Holdings,5
111877-12,Keppel Telecommunications,2
11187-73,Filas,5
111877-30,Illinois Health And Science,1
111877-66,Hyundai Steel,
111877-84,Platinum Wireless,
111877-93,National Storage Affiliates,
111878-02,David Altounian,1
11187-82,Finaves,9
111878-20,Grupo SIMSA,
111878-92,Kuusamon Osuusmeijeri,
111879-10,Nefis Cosmetics,
11188-00,Financiere de Brienne,4
111880-09,MI Care,1
111880-54,Cedar Capital,
111880-63,Syncora Alternative Investments,
11188-09,FTV Capital,68
111880-90,Tom James Company,1
111882-07,John Surtees Limited,
11188-27,Finaventures,31
111883-78,Dundee and Angus College,
111883-96,Gurit Heberlein,1
111884-05,Banco Inbursa,
111884-14,Allan Myers,1
111884-23,Friedshelf 1638,1
111884-32,Groupe Heppner,
11188-45,Finances et Strategies,2
111885-22,Mezhdunarodnyi Tsentr Finansovykh Operatsiy,
11188-54,Finatem,18
111885-40,Bekink Management,
111885-49,The Eureka Project,
111885-94,Sascha Wilkens,
11188-63,Finistere Ventures,16
111886-30,Seth Lieberman,
111886-57,Monceau Assurances Mutuelles Associées,1
111886-75,Jason Lee,
111887-02,Nova Engel,
111887-11,Delta Energy Systems (Germany),1
11188-72,Finlombarda Gestioni,3
111887-29,CLX Logistics,
111887-38,Cornerstone Capital Management Holdings,
111887-56,Sichuan Hanlong (Group),
111887-65,Swoboda,
111887-83,Benjamin Graner,
111888-01,Rubsun Ho,
11188-81,Finnish Industry Investment,165
111888-19,Rick Ragno,
111888-37,Cavendish Legal Group,
111888-55,AMER International Group,1
111888-64,Stephen Taubman,
111888-73,LC Systems-Engineering,
111888-82,John Chivers Commercial,
11188-90,Finnish Fund for Industrial Cooperation,10
111889-00,Alex Wheldon,
111889-18,C. Andrew Kucey,
111889-36,Mike Zachaczewski,
111889-54,Chris Sonntag,
111889-63,Stuart Wheldon,
11188-99,Firemark Investments,3
111890-26,Meeting the World and MeetingsIn,
111890-44,Teknisk Ukeblad Media,
111890-62,Intelmatrix Consulting,
111891-07,Vilomix Holding,
111891-43,Tyre24 (Germany),
111891-61,Taipei Angels,2
111891-88,Zeugma Ventures,
111892-06,Promyshlennye Technologii,
111892-24,Trend,
111892-42,Nasionalny Kosmichesky Bank,
111892-51,C.P.V. Mercaston Investment,1
11189-26,First Eastern Investment Group,4
111892-60,Lival,
111893-05,Jerome Engel,
111893-23,Anthon B Nilsen Education,1
111893-32,Jay Zarfoss,
11189-35,first Ventury,10
111893-59,Erik Steeb,
111893-77,Arjun Divecha,
111893-86,Georges Blanc,
111894-13,Bucher Municipal,1
11189-44,First Round Capital,187
111894-40,City of Maintal,
111894-76,Bredbåndsalliansen,
111894-94,Ivan Brockman,
11189-53,First Avenue Partners (Family Office),10
111895-30,Edifea,
111895-57,Fliegel,
111896-29,Rodacciai,1
111896-74,JV UK Company,
111896-92,Garnova,
11189-71,First Capital Group,25
111897-37,Rusta,1
111897-73,Image et Stratégie,1
111897-82,Tegut Gute Lebensmittel,
111898-09,Sankt-Peterburgskaya Investitsionnaya kompaniya,1
111898-18,Gruppa Aerokosmicheskoye oborudovaniye,
111898-27,Tekhnomarket,
111898-36,Uktam,
111898-45,RvE Fenster + Türen Manufaktur,
111898-54,Forum,1
111898-63,Steve Schirripa,1
111898-99,Union Régionale des Coopératives de Vente de Lait,3
111899-17,RZhD-Razvitie Vokzalov,1
111899-71,Sogex Oman,2
11189-98,Ethos Private Equity,27
111899-80,OBT,
111899-89,Grey Worldwide (Germany),
111900-16,Kaluzhskiy Instrumentalnyi Zavod Insel,1
111900-25,VelentTrans,
111900-43,Novellas Healthcare,
111900-52,VetUK,
111900-61,REGIA Gruppe,1
111900-97,Kaluzhskiye avtomobil'nye sistemy,
111901-24,Elizabeth Krause,
111901-33,Chris Roser,1
111901-42,Edovate Capital,3
111901-60,Mizar Holding Company,
111902-14,SIT-Solutions,
111902-41,Ramboll Group,3
11190-25,Fjord Ventures,5
111902-59,PCF Investments,
11190-34,Flamingo Ventures,1
111903-49,TCO,
11190-43,Flavin Ventures,2
111904-84,Stadtwerke Klagenfurt,1
111904-93,MDM Group Russia,2
11190-52,Graue Mill Partners,4
111905-47,Ryan Gruger,1
111905-65,Rick Gruger,1
111906-10,Forest Fuels,
11190-70,Grazia Equity,27
111907-63,ATC Telecom Tower Corporation,
111907-72,Charles and Helen Schwab Foundation,
111907-81,Highgate Hotels,
11190-79,Great Circle Capital,3
111907-99,Veronafiere Servizi,
111908-53,Bulley Davey,
11190-88,Great Spirit Ventures,6
111909-70,Converge HR Solutions,
111910-51,GN Energy Solutions,1
111910-60,Strativity Group,
111911-05,Osceola Capital Management,1
11191-15,GSC Group,39
111911-59,DIMO Maint,
111911-77,Speidel GmbH,
11191-24,Greenpark Capital,4
111913-03,Alaska Skylar Travel,
111913-39,Progen Biotechnik,1
111913-75,Unitalis,
11191-42,Greenstone Venture Partners,11
11191-51,Green Mountain Advisors,5
111915-10,Tesmec,
111915-73,Vestone Capital,2
111915-82,Cock's Vleeswaren,
111915-91,Coda Studios,
11191-60,Gresham Investment House,3
111916-81,Continental General Insurance,1
11191-69,Gresham Private Equity,67
111917-62,Fedrigoni,
11191-78,Grey Mountain Partners,15
111917-89,Katalyse,
11191-87,Greycroft,88
111918-79,Chris Wang,1
111919-51,BBVA Asset Management,1
11191-96,Greylock Partners,405
111919-78,Jopeko,2
111919-87,Yxelia,
111920-59,KFI Traders Fund,
111920-68,Brett Hurt,1
111920-86,John Dubois,
111921-13,Scott E. Pettit,
111921-31,Trevor Bruner,
11192-14,Fletcher Spaght Ventures,16
111921-40,Scotland's Rural College,
111921-49,Le Revenu Pierre,
111921-67,John Trevisan,
111922-03,Jeff Barnes,
111922-21,James Bouquet,
111922-39,James Judd,
111922-48,Jerry Miller,
111922-57,Amy Edwards,
111922-75,Dave Gibbs,
111922-93,Brad Gossett,
11192-41,Fluke Venture Partners,42
111924-10,Antimony Green,
111925-27,1352741 Alberta,1
111925-36,Millennium Benefits Consulting,
11192-59,Flywheel Ventures,17
111926-17,Big Daishowa Seiki Co.,
11192-68,Forward Ventures,54
111927-43,Help Desk Cavalry,
111927-70,Skills Development Scotland,
111928-24,Wilby,
11192-86,Foundation Medical Management,24
111928-60,Petherbridge Bassra Solicitors,
111928-69,Crosbys,
111929-77,Heinzel Group,2
11193-04,Foundation Venture Capital Group,2
111930-40,Puratos,2
111930-49,Halcyon Days,
111930-67,Domaine Rollan de By,
11193-13,Foundation Capital,189
11193-31,Verdane Capital,106
111933-46,Lionel Richie,
111933-55,Paul Jacobs,
111933-64,Nordeon,
111933-73,Jamie McCourt,
111933-82,Gregg Ritchie,
111933-91,Brannack McLain,
11193-40,4th Level Ventures,9
111934-00,Jack Eads,
111934-18,Adaptris,
111934-54,Sandåsa Timber,
111934-72,3G Communications,
11193-49,Four Seasons Venture Capital,8
111935-62,Grupo Industrial Crimidesa,
111935-80,ENER-G Holdings,3
111936-52,VP Investissements,
11193-67,FP Gestion,3
111936-70,Jeff Ragovin,
111936-88,Shaked Ventures,1
111937-06,Alteri Investors,7
111937-24,Jon Ledecky,
111937-51,FWH Holdings,
11193-76,Coleman Swenson Booth,16
111937-78,Jim Hauslein,
111937-96,Mark Ein,1
111938-05,Noam Chomsky,
111938-23,The Virtual Reality Company,
11193-85,Frantz Medical Ventures,9
111938-50,Jakob Müller,
111938-95,Alpha Source,
111939-13,Banca Popolare Santa Venera,2
11193-94,Franklin Street Equity Partners,3
111939-49,Fondazione Cassa Di Risparmio Di Genova E Imperia,2
111939-58,Leasingroup Sicilia,2
111939-85,Nubbo,6
111940-12,Premier Paper,
11194-03,Frazier Technology Ventures,22
111940-30,RVA Surveyors,
11194-12,Frazier Healthcare Partners,107
111942-19,Ehrmann,1
11194-30,Fremont Ventures,11
111943-45,Pacmod,
111943-72,Zack Coelius,
11194-39,FreshTracks Capital,21
11194-48,Friedli Corporate Finance,14
111945-07,Tailwind Technologies,1
111945-52,FBSerwis,
111945-70,LeoVegas Gaming,
111947-32,NSI-MI Technologies,
11194-75,Frontiers Capital,6
111947-68,1Mg,
11194-84,FSN Capital,30
111948-49,Drinks Holdings,
111949-39,Frederick Goldman,
111949-48,Homestay Acquisition Holdings,
11195-02,Fujitsu,20
111950-65,The Broadway Channel,
11195-11,Fujisawa Investments for Entrepreneurship,5
111951-37,Weston Hotel & Restaurant Association,
111951-55,Rives Dicostanzo Industrie,1
111951-64,Claros,
111951-73,Phase 3 Marketing & Communications,
111951-82,CLAFIS Ingenieus,
11195-20,Fulcrum Management,1
111952-18,Smart Money Management,
111952-81,Landmark Global,
11195-29,Fulcrum Capital Group,7
11195-38,Fulham & Co.,15
111953-89,Borflex,
111953-98,Costa Brava Fructicultors,1
111954-97,Emma Group,1
111955-24,Grafiche Mazzucchelli,
11195-56,Funk Ventures,6
111955-60,Colleague Software,
111955-69,TAP Portugal,1
111955-96,Starline Entertainment,
11195-65,Gabriel Venture Partners,35
111956-77,Bertus Huisman,
11195-74,CVF Capital Partners,16
111957-67,Brandasia,
111958-21,Hancap,
111958-57,Joe Storey,
111959-02,SNL Insurance,
11195-92,Galen Capital Group,2
111959-20,Nordic Transport Group,
111959-38,Ripley Tools,
111959-65,Doosan Infracore International,2
111960-10,MBG International Premium Brands,1
111960-37,Ideal Finance,
111960-64,Skupina Viator & Vektor,2
111960-73,Bank Assets Management,4
11196-10,Galileo Partners,62
111961-36,Sean Beers,
111961-45,Sameer Kaul,
111961-54,Laurence Wintersteen,
111961-81,Vestskog,
11196-19,Gamma Investors,4
111961-90,Air France Industries KLM Engineering & Maintenance,
111961-99,Devon & Cornwall Housing,
111962-26,Fintecna,4
111962-62,Beijing Nesound International Media,
111962-71,Familie Benko Privatstiftung,
11196-28,Garage Technology Ventures,51
111962-89,Sirius Conseils,
111963-70,Tartan Holdings,
11196-46,GarMark Partners,34
11196-55,Two Rivers Associates,18
111965-59,Dasca Maicerías Españolas,
111965-68,T.E.J.O. Groothandel In Vleesprodukten,
11196-64,GATX Capital,9
111966-58,Oberösterreichische Gas-Wärme,
111967-21,Bring Citymail,1
11196-73,Gazelle TechVentures,9
111967-39,Warren Access,
111967-75,Mike Fruzzetti,1
11196-82,GBS Venture Partners,33
111969-28,Scott Hill,2
111969-37,SF Kino,
111969-46,Laurent Bernardin,1
111969-55,Tony Ratliff,2
111969-64,DSM Plastomers,1
111969-73,Exxon Chemical Holland Ventures,1
111969-82,David Wesson,2
11197-00,Gemini Israel Ventures,68
111970-00,Peter Barth,1
111970-09,Jonathan Chizick,2
111970-18,A. Zuiddam Beheer,
111970-36,Elektro Technik Team,
111970-45,Dan Vene,1
111970-54,netIPO,
111970-81,Eric Tobias,2
111970-90,Robert Dykes,
111970-99,La Brosserie Française,
111971-08,Dmitry Shakin,
111971-26,Chris Plough,1
111971-35,Justin Darcy,13
111971-44,Guy Turner,1
111971-89,XL Airways France,
111972-25,Caterpillar Marine Power Systems,
111972-43,Grupa ZUE,
111972-70,Freeform.London,
111972-97,Smågris Syd,
111973-33,Stutz,
111973-51,Heidelberger Beteiligungsholding,2
11197-36,Genentech,13
111973-96,RP Systems & Services,1
111974-41,Independent Transport Company,
11197-45,Genesys Capital,18
111974-68,Viessmann Kältetechnik,
111975-13,Government of Chile,3
11197-54,Mobility Ventures,34
111975-40,Max Prestige General Trading,
111975-49,Wellers Law Group,
111975-58,John Ziesler,
111975-67,Emeramed,
111975-94,BricoKing,
111976-21,Deseronto,
11197-63,Science Group,10
111977-02,CYG Voyages,
11197-72,Genesis Capital,34
111977-74,Joseph Holt Group,
111978-01,Finnsweet,
11197-81,AmorChem,44
111978-37,Royal Haskoning-DHV,2
111978-46,CDK Associates,1
111978-55,Hoi Polloi Pub Company,1
111978-64,WHN Solicitors,
111978-82,Hartford Capital Appreciation Fund,1
11197-90,Genevest Consulting Group,16
111979-00,Novaliance,
111979-09,Sabdy Robertson,1
111979-18,Gigl Brisson,1
111979-45,BlackPine Private Equity Partners,
111979-72,InfoSec Skills,
111980-71,Maranatha,
11198-08,General Mills,24
111981-25,Insight Accelerator Labs,2
111981-52,Kazington,1
111981-61,Philippe Daniel Voisin,
111981-97,EVN Netz,
111982-06,The HeadHunter Group,3
111982-42,Gasnetz Steiermark,
111982-78,Comfriends,
111982-96,Lars Bruzelius,
111983-14,Aotecar New Energy Technology Company,
11198-35,Geneva Venture Group,9
111983-68,Wendi Deng Murdoch,
111984-58,Carvajal Empaques,
111984-94,EFS Group,
111985-12,Tianyi Lummy International Holdings,
111985-21,Meyer & Meyer Internationale Spediteure,
111985-57,Michael Wolsonovich,
111985-66,Radiotechnical & Informational Systems,8
111985-84,Biotech Investissement,
11198-62,Geocapital Partners,16
111986-20,Friginor Kylmontage & Service,
111986-83,Copenhagen School of Entrepreneurship,53
111986-92,P2b,
111987-01,Andres Navarro,
11198-71,Georgia Venture Partners,12
111987-46,Michael Murphy,1
111987-64,Debeka Group,
111987-82,Andy Oldham,1
11198-80,Gepafin,
111988-27,Pia Althin,
111988-72,Johan Andersson,
11198-89,GesCaixa Galicia,5
111989-17,Universal Engraving,
111989-26,Ulf Ljunggren,
111989-53,Bank Of Africa (Cote d'Ivoire),
11198-98,Gestión de Capital Riesgo Del País Vasco,42
111991-06,Byggros,
111991-24,Anthony Joyce & Co.,
111991-42,Kullik & Rullmann,
11199-16,G-51 Amplify,18
111992-77,Zeit Online,
111993-04,Union de Cooperative Foncalieu,
111993-31,Harvest Management Services,
111993-76,TD Javelin Capital Fund II,
111994-30,Donna Dubinsky,
111994-57,Meehan Family Trust,
111994-66,Leonard Shustek,
111994-93,Corporación Financiera Alba,7
111995-02,Suzhou Sanji Foundry Equipment Company,
11199-52,Gilo Ventures,4
111995-29,Vivadom,
111995-56,National Institute on Alcohol Abuse and Alcoholism,
111995-65,Sargents Bakeries,
11199-61,Gimv,257
111996-19,M. J. Kelleher & Sons,
11199-70,GIV Venture Partners,38
111997-36,Bildungswerk der Bayerischen Wirtschaft,
111997-63,Chloe Sladden,3
11199-79,Giza Venture Capital,66
111998-08,Investitsionnaya Kompaniya Mezhtopenergokom,
111998-35,Exer Datacom,
111998-98,Ann Mather,
111999-16,Enzumo,
111999-25,Roederer,
111999-43,Lemissoler Shipping Group,1
11199-97,GKM Ventures,10
111999-70,Dbh Logistics IT,
111999-88,Bioprocess Holding,
112000-15,Unibra,
112000-24,Lmo I/S,
112000-42,More Mobile Relations,
112000-51,Journot Stephane,
112000-78,Transports Sarrion-Charbonnier,
112000-87,Synogen Investment Trust,1
112000-96,Petrolia,
112001-05,FVI Capital,
112001-14,Mckay Investment Group,
112001-23,Dev Information Technology,
112001-32,Allea Venture Capital Partners,
112001-68,Fitzrovia AV,
112002-04,LaserTryk,
11200-24,Mobeus Equity Partners,62
112002-94,Under The Milky Way UK,
112003-12,claro fair trade,
11200-33,Glenmount,2
112003-93,Totus Wealth Matters,
112004-02,Weichun Ye,
112004-11,Yan Zeng,
11200-42,Glengary,8
112004-83,Caritas Schweiz,1
112005-10,MWB,
112005-19,photonamic,
112005-28,MTTM Groupe,
112005-37,H&H Insurance Brokers,
112005-46,Marlborough Fund Managers,3
112005-55,J. Luscombe Associates,
112005-91,Donald Hayden,1
11200-60,Glencoe Capital,25
112006-18,G.S.V. Materieludlejning,
112006-54,Presto Iberica,
11200-69,Vision Cap,25
112007-26,Nine Group,
11200-78,Global Catalyst Partners,18
112008-25,Reunir Grand Ouest,
11200-87,Global Capital Funding Group,
112008-97,BUSITALIA-SITA Nord,
112009-15,Cooperative Trucking Pratesi,
112009-24,Tourbillon Global Ventures,3
112009-33,Auto Guidovie Italiane,1
112009-42,Acanthe Developpement,1
112009-51,CI Com SA Genève,
112009-69,Sovereign Health Care,
112010-05,Dual Real Estate Investment,
112010-23,Sir Peter Michael,
112010-32,Tata AIA Life Insurance,
11201-05,Global Finance,72
112010-59,Avaleo,
112010-95,Classical TV,
112011-13,Tony McCarthy,
11201-14,GlobeSecNine,1
112011-76,Smart & Co,
112012-03,Sabtours Touristik,
11201-23,Global Strategic Investment Fund,7
112012-48,Megatop Capitals,
112012-57,Meadow Quality,
112012-66,ViaWest Group,
112013-02,Troover,
11201-32,Global Emerging Markets,62
112013-20,CarbonOne Technologies,
112013-47,Osram (Lamp Business),
112013-74,Tokarz Investments,1
112013-83,TTG Apparel,1
11201-41,Global Reach Ventures,
112014-73,Lipsky & Associates,
11201-50,Global Crown Capital,2
112015-18,Wenner Media,4
112015-27,Avis Lube,
112015-54,I-20 SWD,
11201-59,Upfront Ventures,83
11201-68,Entrepia Ventures,22
112016-80,CDC Software (Atlanta),
112017-07,Badlands Entertainment Group,
112017-16,Online Learning Consortium,
112017-25,Global-Polymetall,
11201-77,Glynn Capital,84
112018-42,Chalmers Accountants,
11201-86,Gemini Investors,89
112018-60,Mixtec,1
112018-69,Rynkeby Foods,
112018-87,ZMAY Holdings,
112019-05,Sela Verdun de Loré,
112019-23,BluePointe Ventures,6
112019-41,Windward Health Partners,2
11201-95,GMG Capital Partners,18
112019-50,Tsentr XXI,
112019-77,Saare Fishexport,
112019-95,Tropical Sands,
112020-04,Keskpunkt,
112020-13,Hiiu Kalur,
11202-04,Gobi Ventures,18
112020-40,Compass Ocean Logistics,
112020-58,Rustechno,
112020-76,Paul Bushell,1
112021-03,Pomerania Development Agency,2
112021-12,Jeff Allen,1
11202-13,Golden Pine Ventures,4
112021-30,Adisa Management,
112021-48,Joseph Murray,1
112021-75,Abdulaziz AlLoughani,
112021-93,Saif AlZarouini,
112023-01,Tschanen,
11202-31,Goldner Hawn Johnson & Morrison,34
112023-46,PrePay Nation,
112023-55,Joan Barnes,
112023-73,Indigo Headhunters,
112024-00,Baker Tilly UK Group,
112025-17,Arian Developments,
112025-26,Elbogen Electrotech,
112025-53,TechTrek,
112025-62,MOEK-Finance,1
112026-16,Christopher Rogers,
112026-25,Robert Tercek,
112026-34,Gerard Grech,
112026-52,Chris Weasler,
112026-61,Ralph Simon,
11202-67,The Edgewater Funds,60
112026-70,Krombacher Brauerei Bernhard Schadeberg,
112026-88,Jean Baderschneider,
112026-97,Tom Stroup,
112027-06,United Bio Energy,1
112027-15,Dasko,1
112027-42,Pengaun Holdings,
112027-60,Acta Marine Wind Services,
112027-78,Andrew Eichholz,1
112027-87,Tom Montgomery,1
112027-96,AHVV Verlags,
112028-05,Jan Owen Rees,2
112028-14,David Mason,1
112028-32,Don Blackburn,1
112028-41,AAA-TurnON,
112028-50,Miston Investment,5
112028-59,Macornay Investment,3
112028-68,Swiss Property Investment Group,
112028-77,BB Visual Group,
112029-22,Ballyhoura Development,1
11202-94,GP Investments,48
112029-40,Selesti,
112029-49,Isoltema,
112029-58,Kaltenborn-Stachau,1
112029-67,Colin RHD,
112030-03,Greater New York Hospital Association,2
11203-03,Grace Venture Partners,6
112030-30,Ben Chodor,
112030-48,OEK Finans,
112030-66,Gene Salkind,
112030-93,Skoogs Bränsle,
11203-12,Grail Partners,6
112031-20,Brett deMarrais,3
112031-83,Celeb Investments,1
112032-01,Sue Wagner,
11203-21,GGV Capital,106
112032-19,Miriam Naficy,
112032-37,Padmasree Warrior,
112032-46,Grove Information Systems,
112032-91,Ward Plauche,1
11203-30,GrandBanks Capital,22
112033-00,Gruppo Ferrero,1
112033-09,Bickel Auto,
112033-18,Jouve,
112033-36,Stouffer Realty,
112033-63,Emasolar,
112033-81,King Family Investment Holding,1
11203-39,Granite Capital Partners,6
112033-99,Oncam Grandeye,
112034-08,Altawest,1
112034-17,Lafeber Optical Amersfoort,
112034-26,Exposure & Associates,
112035-16,Nutriband,
11203-57,Gridiron Capital,13
112035-79,Dan Rosen,2
112036-51,Limerick County Enterprise Board,
11203-66,Southwest Middle Market M&A,8
112036-78,Ventec-Option,
112036-87,APR Media Holding,
112036-96,Seifel,
