InvestorId,Investor_Name,successful_investments
100078-84,Tractors & Farm Equipment,
100079-29,iHOL,
100080-01,Reydel Automotive,
100080-28,Anctil Detail,
100081-00,TNK-Sheremetyevo,
100081-63,Sum Tat Ventures,
100082-26,Capital Up Holdings,1
100082-62,Iberia Industry Capital,
100082-80,Urex Inversiones,2
100083-07,Grupo Inmocaral,1
100083-97,Amalgamations Group,1
100084-60,Triumph Enterprises,
100085-59,Roumell Asset Management,2
100086-40,Talent Property Group,1
100086-49,Sino Access Holdings,
100086-67,Talent Trend Holdings,1
100087-48,TLN Finance,
100087-66,Goldin Financial,
100088-47,China Household Holdings,
100088-65,DIMOCO Direct Mobile Communications,1
100090-36,Grapplers,
100090-72,Assist Recruitment,
100091-35,Co-operative Food,
100091-44,Munckhof Groep,
100091-71,The Motch & Eichele Co.,
100091-80,Lenhart Pettit,
100092-16,Eos Holdings,1
100092-34,Rouses Supermarket,
100092-70,Schwabe,
100092-88,Meriton Holding,1
100092-97,Access Medical Centers,
100093-87,Sirona Capital,
100094-05,SingHaiyi Group,1
100094-14,Auxigene,
100094-41,Imperial Zinc,
100094-77,Direct Mail Company,
100094-86,Regionagroservis,1
100094-95,Lillico Attlee,
100096-57,Spühl,1
100096-66,NewRiver Retail Property Unit Trust,
100096-75,Grand Gulf Energy,
100097-11,Digital Domain Holdings,1
100097-38,Bronfman Group,3
100097-83,Government of Israel,4
100097-92,Agilite Systems,
100098-19,Yunnan Coal & Energy,
100098-28,LST Utah,
100099-00,IFC Fleet Services,
100099-63,Coronado Coal,
100101-16,Pacific & Orient Berhad,1
100101-70,Flathead Equity Partners,10
100103-14,Headhaul Capital Partners,
100103-32,ACC,4
100103-77,Guide Capital Partners,
100104-04,Goudy Park Capital,2
100104-13,Portola Capital Partners,2
100104-40,Stenprop,
100104-85,NextEnergy Solar Fund,
100105-12,Rapid Nutrition,1
100105-21,Sequa Petroleum,
100105-30,Gamma Telecom,
100105-57,Entu (UK),1
100105-75,Seedlab,1
100105-93,Treehouse Investments,
100106-20,GAL Power,
100106-29,George T. Wilkinson,
100106-38,The Doneger Group,
100106-47,Westwick Group,
100106-56,Strong Life Care,
100107-19,O2 Media,
100107-82,Autocam Medical Devices,
10010-89,Broadcom (Acquired 2016),10
100108-90,Guangxi Wuzhou Zhongheng Group Company,1
100109-08,Kunming Iron and Steel Holdings Co.,1
100109-26,Manubhai & Shah,
100109-62,American Metals,
100110-07,The Guinness Partnership,
100110-52,Quadral,
100110-97,Bohemia Energy,
100111-96,Waramaug LS Hotels,
100113-85,Lotus Ventures,
100113-94,Hansen International,
100114-03,Project Partners,
100114-12,Delabie,
100114-21,Lloyd's Register Group,2
10011-43,Basic Energy Services,1
100114-30,Dynamic Office & Accounting Solutions,
100114-48,Samson,1
100114-57,Well Services Group,
100115-92,Nauvata Engineering,
10011-61,Ares Private Equity Group,78
100116-28,CEOS Industriprodukter,
10011-70,Highland Capital Management,22
100117-27,Garapa,
100117-54,Meir Dor Holdings,
100117-63,Rupp,
10011-79,Charterhouse Equity Partners,112
100117-90,MCR Development,
100117-99,CTC Capital Partners,1
100118-17,Sky Betting and Gaming,1
100118-26,InCentive Group,1
10011-88,CAS Services,
100118-89,Tele2 Netherlands,
100118-98,Sandman Hotel Group,
100119-43,Antic London,
100119-61,Integrity Gaming,1
100119-70,Cogent B2B,
100119-88,Freight One,1
10012-06,AmeriQual Group,
100120-87,The Jacob Group,
10012-15,Aircraft Service International Group,1
100121-50,Lemur Resources,
100121-68,Vintage Bank,
10012-24,Questex,1
100122-49,Trasporto Passeggeri Emilia-Romagna,
100123-12,Booth Waltz,1
100123-21,Bridge Industries,1
10012-33,Riverdale Partners,
100123-57,Prêt à Partir,
100123-93,Tagerim,1
100124-74,Ideal Industries,1
100125-19,Gallant Acquisitions,
100125-37,Dateline Resources,
100125-46,ABIL Group,
10012-69,Berkshire Partners,124
100127-08,Elite Pankkiiriliike,
100127-53,Igristie Vina,
100127-71,Veredus,1
100127-98,Ascent Performance Group,
100129-06,Steel River Consultants,
100129-60,Graphics & Print Telford,
100129-69,MITAG Mittelständische Technologie Beteiligungs,
100130-59,Frequent Flyer Travel Paris,
100130-77,Shorts Group,1
100130-86,Transports Georgelin,
100131-58,FirstService Residential Management,
100131-85,New Colombia Resources,
100133-02,Evans Food Group,
100133-11,WJFS,
10013-32,Audax Group,160
100133-47,Kaizen Discovery,3
100133-65,High Power Exploration,3
100134-10,Simply Pure Nutrients,
100134-46,MF Group Factoring,
100134-64,Physiotherm,
10013-50,i-Health,
100136-17,Accellera Systems Initiative,
100136-53,TV time,
100136-62,Build King Holdings,
10013-68,Arnold Magnetic Technologies,
100136-80,Jacobs Matasis,
100137-43,Golden State Farm Credit,
10013-77,Arcapita,86
10013-86,Inverness Management,2
100139-05,PKF Littlejohn,
100140-04,Enoch Evans,
10014-04,Lincoln International,1
100140-49,Ziffren Brittenham LLP,
100141-03,Integra Technologies,
10014-13,Bear Growth Capital Partners,17
100141-57,Ellis Jones,
100141-66,Prenetics,
10014-22,Lazard Middle Market,1
100142-29,Zhejiang Jiayuan Group,
100143-01,Cayla Alcouffe,
10014-31,Deloitte,21
100143-19,B2F,1
100143-46,Coent Venture Partners,4
100143-82,Sterling Private Capital,
10014-40,Webster Capital,30
100144-27,Family Compass,
100144-36,Grupo Investa,
100144-63,Salmon Real Estate,
10014-49,The Blackstone Group,558
100145-53,Pilot Thomas Logistics,
100145-98,Partners Advantage Insurance Services,
100146-16,Cornerstone Strategic Value Fund,
100147-06,Marlow Advisers,1
100147-24,Pentangle Group,1
10014-76,PwC,27
100147-60,SpeedConnect,
100147-96,Vermec,2
100148-23,AVA (Mexico),
10014-85,KPMG,22
100149-31,TPT Global Tech,
100149-58,Western Uranium,1
100149-67,GAMCO Asset Management,
100150-21,DanDrit Biotech USA,
10015-03,EY,13
10015-12,Advent International,469
100152-91,Blom Bank,
10015-30,Ballard Spahr,
100153-00,Ascendant Group,1
100153-27,The Armourers and Brasiers,2
100153-36,Veritone,
100153-81,Sierra Wasatch Capital,2
10015-39,Chicago Growth Partners,57
